Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
Portrazza in combination with gemcitabine and cisplatin chemotherapy is indicated for the treatment of adult patients with locally advanced or metastatic epidermal growth factor receptor (EGFR) expressing squamous non-small cell lung cancer who have not received prior chemotherapy for this condition.,<Non-Small Cell Lung Carcinoma>,,Portrazza in combination with gemcitabine and cisplatin chemotherapy is indicated for first-line treatment of patients with locally advanced or metastatic squamous non-small cell lung cancer.,<Squamous Cell Lung Carcinoma>,,Eli Lilly Nederland B.V.,Eli Lilly,
"Type 2 diabetes mellitus, particularly in overweight patients inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance.",<Type 2 Diabetes Mellitus>,,"Type 2 diabetes mellitus, particularly in overweight patients inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance.",<Type 2 Diabetes Mellitus>,,Not reported,Not Reported,
,Not Reported,,treatment of neuropathic pain associated with diabetic peripheral neuropathy in adults,<Diabetic Neuropathies>,,UCB Pharma,UCB,
"Treatment of prolonged, acute, convulsive seizures in infants, toddlers, children and adolescents (from 3 months to < 18 years)",<Seizures>,,Treatment of acute seizures in children (from 3 months to <18 years) known to have epileptic seizures.,<Epilepsy>,,ViroPharma SPRL,ViroPharma,
"As a replacement therapy adjunctive to diet to treat the complications of leptin deficiency in lipodystrophy (LD) patients with confirmed congenital generalised LD (Berardinelli-Seip syndrome) or acquired generalised LD (Lawrence syndrome) in adults and children 2 years of age and above, and with confirmed familial partial LD or acquired partial LD (Barraquer-Simons syndrome), in adults and children 12 years of age and above for whom standard treatments have failed to achieve adequate metabolic control.",<Lipodystrophy>,,"As an adjunct to diet as a replacement therapy to treat the complications of leptin deficiency in patients with congenital or acquired generalised lipodystrophy (LD), in adults and children 2 years of age and above, and in patients with familial or acquired partial LD, characterised by leptin level < 12 ng/ml with triglycerides ≥ 5.65 mmol/l and/or HbA1c ≥ 6.5 %, in adults and children 2 years of age and above.",<Leptin Deficiency>; <Lipodystrophy>,,Aegerion Pharmaceuticals B.V.,Aegerion,
,Not Reported,,treatment of patients with moderate to moderately severe Alzheimer’s disease who are already on a stable daily dose of 20 mg memantine and 10 mg donepezil,<Alzheimer Disease>,,H. Lundbeck A/S,Lundbeck,
Rapiscan is a selective coronary vasodilator for use as a pharmacological stress agent for radionuclide myocardial perfusion imaging (MPI) in patients unable to undergo adequate exercise stress.,Not Reported,,Rapiscan is a selective coronary vasodilator for use as a pharmacological stress agent for radionuclide myocardial perfusion imaging in patients unable to undergo adequate exercise stress.,Not Reported,,Gilead Sciences International Ltd.,Gilead,
"treatment of disease-related splenomegaly or symptoms in adult patients with moderate to severe anaemia who have primary myelofibrosis, post polycythaemia vera myelofibrosis or post essential thrombocythaemia myelofibrosis and who are Janus Kinase (JAK) inhibitor naïve or have been treated with ruxolitinib","<Anemia>; <Primary Myelofibrosis>; <Polycythemia Vera>; <Thrombocythemia, Essential>",,"treatment of disease-related splenomegaly or symptoms in adult patients with moderate to severe anaemia who have primary myelofibrosis, post polycythaemia vera myelofibrosis or post essential thrombocythaemia myelofibrosis and who are Janus Kinase (JAK) inhibitor naïve or have been treated with ruxolitinib",<Primary Myelofibrosis>; <Polycythemia Vera>; <Essential Thrombocythemia>,,GlaxoSmithKline Australia Pty Ltd,GlaxoSmithKline,
"Treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy",<Psoriasis>,,"Treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy",<Psoriasis>,,Wyeth Australia Pty Ltd,Wyeth,
treatment of patients with advanced clear cell renal cell carcinoma after prior anti-angiogenic therapy in adults,<Renal Cell Carcinoma>,,treatment of patients with advanced renal cell carcinoma (RCC),<Renal Cell Carcinoma>,,Bristol-Myers Squibb Australia Pty Ltd,Bristol-Myers Squibb,
"Treatment of thromboembolic disease of all causes and at any site, and relay treatment following thrombolytic therapy; in the event of myocardial infarction; inhibition of coagulation in the event of extracorporeal circulation and haemodialysis.",<Thromboembolism>; <Myocardial Infarction>,,"Treatment of thromboembolic disease of all causes and at any site, and relay treatment following thrombolytic therapy; in the event of myocardial infarction; inhibition of coagulation in the event of extracorporeal circulation and haemodialysis.",<Thromboembolism>; <Myocardial Infarction>,,Sintetica SA,Sintetica,
"treatment of HIV-1 infected adults, adolescents, and children of any age in combination with other anti-retroviral medicinal products",<HIV Infections>,,"treatment of HIV-1 infected adults, adolescents, and children of any age in combination with other anti-retroviral medicinal products",<Human Immunodeficiency Virus>,,Teva Pharma B.V.,Teva,
"treatment of malignant glioma, such as glioblastoma multiforme or anaplastic astrocytoma, showing recurrence or progression after standard therapy",<Malignant Glioma>; <Glioblastoma>; <Astrocytoma>,,"treatment of malignant glioma, such as glioblastoma multiforme or anaplastic astrocytoma, showing recurrence or progression after standard therapy",<Malignant Glioma>; <Glioblastoma>; <Astrocytoma>,,Not reported,Not Reported,
Prophylaxis of influenza in an officially declared pandemic situation.,<Influenza>,,Prophylaxis of influenza in an officially declared pandemic situation.,<Influenza>,,GlaxoSmithKline Biologicals S.A.,GlaxoSmithKline,
Lojuxta is indicated as an adjunct to a low-fat diet and other lipid-lowering medicinal products with or without low density lipoprotein (LDL) apheresis in adult patients with homozygous familial hypercholesterolaemia (HoFH).,<Homozygous Familial Hypercholesterolemia>,,"Lomitapide Aegerion is indicated as an adjunct to a low-fat diet and other lipid-lowering drugs with or without LDL apheresis to reduce low-density lipoprotein cholesterol (LDL-C), total cholesterol (TC), apolipoprotein B (apo B) and triglycerides (TG) in patients with homozygous familial hypercholesterolemia (HoFH).",<Homozygous Familial Hypercholesterolemia>,,Aegerion Pharmaceuticals,Aegerion,
Hypertension,<Hypertension>,,Hypertension,<Hypertension>,,Novartis Pharma K.K.,Novartis,
"Prevention of atherothrombotic events, venous thromboembolism, stroke, and systemic embolism; treatment of DVT and PE",<Atherothrombotic Events>; <Venous Thromboembolism>; <Stroke>; <Systemic Embolism>; <Deep Vein Thrombosis>; <Pulmonary Embolism>,,"Prevention of atherothrombotic events, venous thromboembolism, stroke, and systemic embolism; treatment of DVT and PE",<Thromboembolism>; <Stroke>; <Embolism>; <Venous Thromboembolism>; <Deep Vein Thrombosis>; <Pulmonary Embolism>,,Accord Healthcare S.L.U.,Accord,
Treatment of patients with mantle cell lymphoma who have received at least one prior therapy.,<Mantle Cell Lymphoma>,,Treatment of patients with mantle cell lymphoma who have received at least one prior therapy.,<Mantle Cell Lymphoma>,,AstraZeneca Pty Ltd,AstraZeneca,
Eribulin Baxter is indicated for the treatment of adult patients with locally advanced or metastatic breast cancer who have progressed after at least one chemotherapeutic regimen for advanced disease. Eribulin Baxter is indicated for the treatment of adult patients with unresectable liposarcoma who have received prior anthracycline containing therapy for advanced or metastatic disease.,<Breast Neoplasms>; <Liposarcoma>,,Eribulin Baxter monotherapy is indicated for the treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapeutic regimens for advanced disease. Eribulin Baxter is indicated for the treatment of adult patients with unresectable liposarcoma who have received prior anthracycline containing therapy for advanced or metastatic disease.,<Breast Neoplasms>; <Liposarcoma>,,Baxter Holding B.V.,Baxter,
Treatment of severe atopic dermatitis in patients aged 6 to 11 years old who are candidates for chronic systemic therapy; add-on maintenance treatment in adult patients with inadequately controlled chronic rhinosinusitis with nasal polyposis (CRSwNP).,"<Dermatitis, Atopic>; <Rhinosinusitis>; <Nasal Polyps>",,Treatment of moderate to severe atopic dermatitis in patients aged 6 years and older who are candidates for chronic systemic therapy; add-on maintenance treatment in adult patients with inadequately controlled chronic rhinosinusitis with nasal polyposis (CRSwNP).,"<Dermatitis, Atopic>; <Rhinosinusitis>; <Nasal Polyps>",,Sanofi-Aventis Australia Pty Ltd,Sanofi-Aventis,
treatment of adult patients with moderately to severely active ulcerative colitis,<Ulcerative Colitis>,,treatment of adult patients with moderately to severely active ulcerative colitis,<Ulcerative Colitis>,,Eli Lilly Nederland B.V.,Eli Lilly,
Topical treatment of cutaneous lesions in patients with AIDS-related Kaposi’s sarcoma,<AIDS>;<Kaposi's Sarcoma>,,Topical treatment of cutaneous lesions in patients with AIDS-related Kaposi’s sarcoma,<AIDS-Related Kaposi Sarcoma>,,Ligand Pharmaceuticals UK Limited,Ligand,
Treatment of a haemodynamically significant patent ductus arteriosus in preterm newborn infants less than 34 weeks of gestational age.,<Patent Ductus Arteriosus>,,Treatment of a haemodynamically significant patent ductus arteriosus in preterm newborn infants less than 34 weeks of gestational age.,<Patent Ductus Arteriosus>,,Gen.Orph,Gen.Orph,
first-line treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) activating mutations,<Lung Neoplasms>,,first-line treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) activating mutations,<Lung Neoplasms>,,Pfizer Europe MA EEIG,Pfizer,
"Treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE), and for the prevention of recurrent DVT and PE in adults.",<Thrombosis>; <Pulmonary Embolism>,,Treatment of acute deep vein thrombosis (DVT) and/or pulmonary embolism (PE) and prevention of related death; Prevention of recurrent deep vein thrombosis (DVT) and/or pulmonary embolism (PE) and related death.,<Venous Thrombosis>; <Pulmonary Embolism>,,Boehringer Ingelheim Pty Ltd,Boehringer Ingelheim,
treatment of adults aged 18 years and over with newly diagnosed Philadelphia chromosome positive (Ph+) chronic myeloid leukaemia in the chronic phase,"<Leukemia, Myelogenous, Chronic, BCR-ABL Positive>",,treatment of adults aged 18 years or over with newly diagnosed chronic myeloid leukaemia (CML),"<Leukemia, Myeloid, Chronic-Phase>",,Bristol-Myers Squibb Australia Pty Ltd,Bristol-Myers Squibb,
treatment of infections due to aerobic Gram-negative microorganisms in adults with limited treatment options,<Gram-Negative Bacterial Infections>,,treatment of infections due to aerobic Gram-negative microorganisms in adults with limited treatment options,<Gram-Negative Bacterial Infections>,,Merck Sharp & Dohme B.V.,Merck Sharp & Dohme,
"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<Pertussis>; <Diphtheria>; <Tetanus>; <Poliomyelitis>,,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<Pertussis>; <Diphtheria>; <Tetanus>; <Poliomyelitis>,,The Research Foundation for Microbial Diseases of Osaka University,Osaka University,
treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement that has progressed after at least one prior line of systemic therapy,<Cholangiocarcinoma>,,treatment of adults with locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement that is relapsed or refractory after at least one line of systemic therapy,<Cholangiocarcinoma>,,Specialised Therapeutics Alim Pty Ltd,Specialised Therapeutics,
,Not Reported,,disease modifying treatment in adult patients with Alzheimer’s disease at the mild cognitive impairment (MCI) or mild dementia stage,<Alzheimer Disease>,,Biogen Netherlands B.V.,Biogen,
,Not Reported,,"Prevention of cardiovascular death, myocardial infarction and stent thrombosis in patients after an acute coronary syndrome (ACS)",<Acute Coronary Syndrome>,,Bayer Australia Ltd,Bayer,
Treatment of Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,,Treatment of Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,,Novo Nordisk A/S,Novo Nordisk,
"Replacement therapy in primary immunodeficiency syndromes; Myeloma or chronic lymphocytic leukaemia with severe secondary hypogammaglobulinaemia and recurrent infections; Children with congenital AIDS and recurrent infections; Immunomodulation in Idiopathic thrombocytopenic purpura, Guillain-Barré syndrome, Kawasaki disease; Allogeneic bone marrow transplantation","<Immunologic Deficiency Syndromes>; <Multiple Myeloma>; <Leukemia, Lymphocytic, Chronic, B-Cell>; <AIDS, Congenital>; <Purpura, Thrombocytopenic, Idiopathic>; <Guillain-Barre Syndrome>; <Mucocutaneous Lymph Node Syndrome>",,"Replacement therapy in primary immunodeficiency syndromes; Myeloma or chronic lymphocytic leukaemia with severe secondary hypogammaglobulinaemia and recurrent infections; Children with congenital AIDS and recurrent infections; Immunomodulation in Idiopathic thrombocytopenic purpura, Guillain-Barré syndrome, Kawasaki disease; Allogeneic bone marrow transplantation","<Immunologic Deficiency Syndromes>; <Multiple Myeloma>; <Leukemia, Lymphocytic, Chronic, B-Cell>; <Acquired Immunodeficiency Syndrome>; <Purpura, Thrombocytopenic, Idiopathic>; <Guillain-Barre Syndrome>; <Mucocutaneous Lymph Node Syndrome>",,CSL Behring GmbH,CSL Behring,
Chronic weight management,<Obesity>,,Chronic weight management,<Obesity>,,Eli Lilly Australia Pty Ltd,Eli Lilly,
Active immunisation against H5N1 subtype of Influenza A virus.,<Influenza>,,Active immunisation against H5N1 subtype of Influenza A virus.,<Influenza>,,Novartis Vaccines and Diagnostics S.r.l.,Novartis,
"Prevention and treatment of haemorrhage or surgical bleeding in patients with VWD, when desmopressin (DDAVP) treatment alone is ineffective or contraindicated; Prophylaxis and treatment of bleeding in patients with haemophilia A.",<Von Willebrand Disease>; <Hemophilia A>,,"Prevention and treatment of haemorrhage or surgical bleeding in patients with VWD, when desmopressin (DDAVP) treatment alone is ineffective or contraindicated; Prophylaxis and treatment of bleeding in patients with haemophilia A.",<Von Willebrand Disease>; <Hemophilia A>,,CSL Behring GmbH,Behring,
"treatment of adults with castration-resistant prostate cancer, symptomatic bone metastases and no known visceral metastases",<Prostatic Neoplasms>,,treatment of castration-resistant prostate cancer patients with bone metastases,<Prostatic Neoplasms>,,Bayer Pharma AG,Bayer,
symptomatic treatment of urge incontinence and/or increased urinary frequency and urgency as may occur in patients with overactive bladder syndrome,<Overactive Bladder>,,symptomatic treatment of urge incontinence and/or increased urinary frequency and urgency as may occur in patients with overactive bladder syndrome,<Overactive Bladder>,,Novartis Pharma AG,Novartis,
treatment of patients with phenylketonuria (PKU) aged 16 years and older who have inadequate blood phenylalanine control despite prior management with available treatment options,<Phenylketonurias>,,treatment of patients with phenylketonuria (PKU) aged 16 years and older who have inadequate blood phenylalanine control despite prior management with available treatment options,<Phenylketonurias>,,BioMarin Pharmaceutical Australia Pty Ltd,BioMarin,
"treatment of diabetes mellitus in adults, adolescents and children aged 1 year and above",<Diabetes Mellitus>,,"treatment of diabetes mellitus in adults, adolescents and children aged 1 year and above",<Diabetes Mellitus>,,sanofi-aventis groupe,Sanofi,
treatment of adults and children with diabetes mellitus who require insulin for the maintenance of normal glucose homeostasis and for the initial stabilisation of diabetes mellitus,<Diabetes Mellitus>,,treatment of adults and children with diabetes mellitus who require insulin for the maintenance of normal glucose homeostasis and for the initial stabilisation of diabetes mellitus,<Diabetes Mellitus>,,Eli Lilly Nederland B.V.,Eli Lilly,
"Prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,,"Prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,,Acino Pharma GmbH,Acino,
Treatment and prevention of osteoporosis in postmenopausal women,<Osteoporosis>,,Treatment and prevention of osteoporosis in postmenopausal women,<Osteoporosis>,,Not reported,Not Reported,
treatment of adult patients with relapsing remitting multiple sclerosis,"<Multiple Sclerosis, Relapsing-Remitting>",,treatment of adult patients with relapsing remitting multiple sclerosis,"<Multiple Sclerosis, Relapsing-Remitting>",,Biogen Netherlands B.V.,Biogen,
"The prophylaxis of Japanese encephalitis caused by the Japanese encephalitis virus, in individuals from 12 months of age and over.",<Japanese Encephalitis>,,"The prophylaxis of Japanese encephalitis caused by the Japanese encephalitis virus, in individuals from 12 months of age and over.",<Japanese Encephalitis>,,Sanofi Pasteur Pty Ltd,Sanofi Pasteur,
"Post Myocardial Infarction: Adjuvant treatment in secondary prevention after myocardial infarction, in addition to other standard therapy; Hypertriglyceridaemia: Endogenous hypertriglyceridaemia as a supplement to diet when dietary measures alone are insufficient.",<Myocardial Infarction>; <Hypertriglyceridemia>,,"Post Myocardial Infarction: Adjuvant treatment in secondary prevention after myocardial infarction, in addition to other standard therapy; Hypertriglyceridaemia: Endogenous hypertriglyceridaemia as a supplement to diet when dietary measures alone are insufficient.",<Myocardial Infarction>; <Hypertriglyceridemia>,,Abbott Products Pty Ltd,Abbott,
RET Fusion-Positive Non-Small Cell Lung Cancer; RET-Mutant Medullary Thyroid Cancer; RET Fusion-Positive Thyroid Cancer,<Non-Small Cell Lung Cancer>; <Medullary Thyroid Cancer>; <Thyroid Cancer>,,GAVRETO is indicated for the treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC) and who have experienced progression after previous treatment. GAVRETO is indicated for the treatment of adult and paediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy and who have experienced progression after previous treatment. GAVRETO is indicated for the treatment of adult and paediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who have experienced progression after previous treatment including radioactive iodine.,"<Non-Small Cell Lung Carcinoma>; <Thyroid Neoplasms>; <Medullary Carcinoma, Thyroid>",,Roche Pharma (Schweiz) AG,Roche,
Advanced or recurrent cervical cancer that has progressed after chemotherapy,<Cervical Cancer>,,Advanced or recurrent cervical cancer that has progressed after chemotherapy,<Cervical Cancer>,,Sanofi K.K.,Sanofi,
As an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,,As an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,,Merck Sharpe and Dohme Pty Ltd,Merck Sharpe and Dohme,
Acquired thrombotic thrombocytopenic purpura,<Thrombotic Thrombocytopenic Purpura>,,Acquired thrombotic thrombocytopenic purpura,<Thrombotic Thrombocytopenic Purpura>,,Sanofi K.K.,Sanofi,
Treatment and prophylaxis of bleeding in patients 12 years and above with haemophilia B (congenital factor IX deficiency),<Hemophilia B>,,Treatment and prophylaxis of bleeding in patients with haemophilia B (congenital factor IX deficiency),<Hemophilia B>,,Novo Nordisk A/S,Novo Nordisk,
The treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise,<Type 2 Diabetes Mellitus>,,The treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise,<Type 2 Diabetes Mellitus>,,Novo Nordisk Pharmaceuticals Pty Ltd,Novo Nordisk,
,Not Reported,,"Treatment of severe uraemic pruritus (UP) in patients of 18 years of age or older, with end stage renal disease (ESRD) undergoing regular dialysis.",<Pruritus>; <End Stage Renal Disease>,,Toray International U.K. Limited,Toray,
treatment of advanced renal cell carcinoma,<Renal Cell Carcinoma>,,treatment of advanced renal cell carcinoma,<Renal Cell Carcinoma>,,Wyeth Europa Ltd.,Wyeth,
"Nustendi is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet.",<Hypercholesterolemia>,,"Nustendi is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet.",<Hypercholesterolemia>; <Dyslipidemias>,,FGK Representative Service GmbH,FGK,
"Prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,,"Prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,,Qualimed,Qualimed,
"Treatment of adult patients with advanced gastrointestinal stromal tumor (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",<Stromal Tumor>,,"Treatment of adult patients with advanced gastrointestinal stromal tumors (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib.",<Stromal Tumors>,,Deciphera Pharmaceuticals,Deciphera,
treatment of infections due to aerobic Gram-negative bacteria in adult patients with limited treatment options,<Gram-Negative Bacterial Infections>,,treatment of infections due to aerobic Gram-negative bacteria in adult patients with limited treatment options,<Gram-Negative Bacterial Infections>,,Shionogi B.V.,Shionogi,
,Not Reported,,"The initial requested Indications were for the treatment of patients with relapsed ovarian cancer in combination with pegylated liposomal doxorubicin hydrochloride (PLD) and for the treatment of patients with advanced soft tissue sarcoma, after failure of anthracycline and ifosfamide, or who are unsuited to receive these agents.",<Ovarian Neoplasms>; <Sarcoma>,,Janssen-Cilag Pty Ltd,Janssen-Cilag,
Treatment of rheumatoid arthritis (including the inhibition of progression of structural joint damage); Takayasu’s arteritis or giant cell arteritis,<Rheumatoid Arthritis>; <Takayasu Arteritis>; <Giant Cell Arteritis>,,Treatment of rheumatoid arthritis with an inadequate response to existing therapies; Treatment of large vessel vasculitis (Takayasu’s arteritis or giant cell arteritis),"<Rheumatoid Arthritis>; <Vasculitis, Large-Cell>",,"Chugai Pharmaceutical Co., Ltd.",Chugai,
Hypercholesterolaemia and mixed dyslipidaemia,<Hypercholesterolemia>; <Dyslipidemias>,,"Inclisiran is intended for use in adults with hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia, as an adjunct to diet.",<Hypercholesterolemia>; <Dyslipidemias>,,Novartis Pharma Schweiz AG,Novartis,
prevention of early myocardial infarction in patients with unstable angina or non-Q-wave myocardial infarction,"<Myocardial Infarction>; <Angina, Unstable>",,prevention of early myocardial infarction in patients with unstable angina or non-Q-wave myocardial infarction,"<Myocardial Infarction>; <Angina, Unstable>",,Not reported,Not Reported,
"Primary prevention of venous thromboembolic events in adult patients who have undergone elective total hip replacement surgery or total knee replacement surgery; Prevention of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation; Treatment of deep vein thrombosis and pulmonary embolism, and prevention of recurrent DVT and PE in adults; Treatment of VTE and prevention of recurrent VTE in paediatric patients from birth to less than 18 years of age.",<Venous Thromboembolism>; <Stroke>; <Atrial Fibrillation>; <Deep Vein Thrombosis>; <Pulmonary Embolism>,,"Primary prevention of venous thromboembolic events in adult patients who have undergone elective total hip replacement surgery or total knee replacement surgery; Prevention of stroke and systemic embolism in adult patients with non-valvular atrial fibrillation; Treatment of deep vein thrombosis and pulmonary embolism, and prevention of recurrent DVT and PE in adults; Treatment of VTE and prevention of recurrent VTE in paediatric patients from birth to less than 18 years of age.",<Venous Thromboembolism>; <Stroke>; <Atrial Fibrillation>; <Deep Vein Thrombosis>; <Pulmonary Embolism>,,Accord Healthcare S.L.U.,Accord,
"as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least 3 prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 antibody and have demonstrated disease progression or did not respond to the last therapy",<Multiple Myeloma>,,"as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least 3 prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 antibody and have demonstrated disease progression or did not respond to the last therapy",<Multiple Myeloma>,,Janssen-Cilag International N.V.,Janssen-Cilag,
Capecitabine is indicated for the adjuvant treatment of patients following surgery of stage III (Dukes’ stage C) colon cancer. Capecitabine is indicated for the treatment of metastatic colorectal cancer. Capecitabine is indicated for first-line treatment of advanced gastric cancer in combination with a platinum-based regimen. Capecitabine in combination with docetaxel is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy. Previous therapy should have included an anthracycline. Capecitabine is also indicated as monotherapy for the treatment of patients with locally advanced or metastatic breast cancer after failure of taxanes and an anthracycline-containing chemotherapy regimen or for whom further anthracycline therapy is not indicated.,<Colonic Neoplasms>; <Colorectal Neoplasms>; <Stomach Neoplasms>; <Breast Neoplasms>,,Capecitabine is indicated for the adjuvant treatment of patients following surgery of stage III (Dukes’ stage C) colon cancer. Capecitabine is indicated for the treatment of metastatic colorectal cancer. Capecitabine is indicated for first-line treatment of advanced gastric cancer in combination with a platinum-based regimen. Capecitabine in combination with docetaxel is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy. Previous therapy should have included an anthracycline. Capecitabine is also indicated as monotherapy for the treatment of patients with locally advanced or metastatic breast cancer after failure of taxanes and an anthracycline-containing chemotherapy regimen or for whom further anthracycline therapy is not indicated.,<Colon Cancer>; <Colorectal Neoplasms>; <Stomach Neoplasms>; <Breast Neoplasms>,,Sun Pharmaceutical Industries Europe B.V.,Sun,
Non-small cell lung cancer,<Non-Small Cell Lung Carcinoma>,,"Treatment of adult patients with non-small cell lung cancer (NSCLC) expressing PD-L1 (in ≥ 50% tumour cells) with no EGFR, ALK or ROS1 aberrations, who have locally advanced NSCLC and who are not candidates for surgical resection or definitive chemoradiation, or have progressed after treatment with definitive chemoradiation, or metastatic NSCLC.",<Lung Neoplasms>,,Sanofi-Aventis Australia Pty Ltd,Sanofi-Aventis,
"treatment of adult patients with folate receptor-alpha (FRα) positive, platinum-resistant high grade serous epithelial ovarian, fallopian tube, or primary peritoneal cancer who have received one to three prior systemic treatment regimens",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>,,"treatment of adult patients with folate receptor-alpha (FRα) positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>,,AbbVie Deutschland GmbH & Co.,AbbVie,
"Improvement of viraemia in patients with chronic hepatitis C serogroup 1 (genotype 1), or chronic hepatitis C serogroup 1 with compensated cirrhosis",<Chronic Hepatitis C>; <Cirrhosis>,,"Improvement of viraemia in patients with chronic hepatitis C serogroup 1 (genotype 1), or chronic hepatitis C serogroup 1 with compensated cirrhosis",<Chronic Hepatitis C>; <Liver Cirrhosis>,,Bristol-Myers K.K.,Bristol-Myers,
Rheumatoid arthritis; Juvenile idiopathic arthritis; Enthesitis-related arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Paediatric plaque psoriasis; Hidradenitis suppurativa; Uveitis; Paediatric uveitis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Arthritis>; <Spondylarthropathies>; <Psoriatic Arthritis>; <Psoriasis>; <Hidradenitis Suppurativa>; <Uveitis>",,Rheumatoid arthritis; Juvenile idiopathic arthritis; Enthesitis-related arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Paediatric plaque psoriasis; Hidradenitis suppurativa; Uveitis; Paediatric uveitis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Spondylarthropathies>; <Spondylarthropathies>; <Arthritis, Psoriatic>; <Psoriasis>; <Psoriasis>; <Hidradenitis Suppurativa>; <Uveitis>; <Uveitis>",,Sandoz GmbH,Sandoz,
"Libmeldy is indicated for the treatment of metachromatic leukodystrophy (MLD) characterised by biallelic mutations in the arylsulfatase A (ARSA) gene leading to a reduction of the ARSA enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.","<Leukodystrophy, Metachromatic>",,"Libmeldy is indicated for the treatment of metachromatic leukodystrophy (MLD) characterised by biallelic mutations in the arylsulfatase A (ARSA) gene leading to a reduction of the ARSA enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.","<Leukodystrophy, Metachromatic>",,SFL Pharma GmbH,SFL,
